epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1597.98,0.70027,0.46387,1.04863,0.94232,0.90681,0.96415,0.64578,1.17062,0.54141,1.52346,0.0001585,0.0001585,0.0001585
104,1613.53,0.70519,0.46181,1.03955,0.92284,0.89425,0.95521,0.64241,1.16305,0.54596,1.51929,0.00015025,0.00015025,0.00015025
105,1629.52,0.67849,0.44801,1.04279,0.93216,0.91184,0.96731,0.65108,1.18661,0.52653,1.53643,0.000142,0.000142,0.000142
106,1645.25,0.67583,0.45239,1.04782,0.87967,0.93507,0.96432,0.6436,1.1669,0.56059,1.53365,0.00013375,0.00013375,0.00013375
107,1660.48,0.68288,0.4653,1.03166,0.89252,0.89625,0.94008,0.63931,1.19239,0.62139,1.54396,0.0001255,0.0001255,0.0001255
108,1676.06,0.68581,0.47231,1.04795,0.92249,0.89373,0.95607,0.64422,1.19318,0.57121,1.54548,0.00011725,0.00011725,0.00011725
109,1691.68,0.65669,0.44439,1.02824,0.91978,0.87295,0.95754,0.6501,1.16117,0.56696,1.50461,0.000109,0.000109,0.000109
110,1707.88,0.64919,0.43703,1.02454,0.90769,0.88234,0.95664,0.65877,1.16131,0.59064,1.50096,0.00010075,0.00010075,0.00010075
111,1724.59,0.58394,0.36214,0.98373,0.93057,0.84411,0.95816,0.64951,1.15982,0.56562,1.52357,9.25e-05,9.25e-05,9.25e-05
112,1739.66,0.55234,0.3342,0.95969,0.90069,0.86885,0.94623,0.65119,1.18211,0.5808,1.5723,8.425e-05,8.425e-05,8.425e-05
113,1754.38,0.54671,0.31672,0.95069,0.90981,0.88885,0.95261,0.65556,1.18431,0.57941,1.56569,7.6e-05,7.6e-05,7.6e-05
114,1769.46,0.53223,0.31238,0.94628,0.90303,0.85965,0.95267,0.65569,1.16679,0.57605,1.54368,6.775e-05,6.775e-05,6.775e-05
115,1785.21,0.53349,0.30533,0.93955,0.88827,0.88409,0.95125,0.6676,1.15409,0.56776,1.53098,5.95e-05,5.95e-05,5.95e-05
116,1800.24,0.52164,0.30918,0.93786,0.87832,0.87824,0.95272,0.66119,1.19367,0.56235,1.56376,5.125e-05,5.125e-05,5.125e-05
117,1815.22,0.51568,0.29508,0.92265,0.90285,0.85741,0.96071,0.66496,1.18666,0.57156,1.56956,4.3e-05,4.3e-05,4.3e-05
118,1830.26,0.52344,0.30573,0.93618,0.92813,0.86303,0.96183,0.65178,1.1888,0.56813,1.56976,3.475e-05,3.475e-05,3.475e-05
119,1845.16,0.50944,0.29439,0.93478,0.92187,0.86832,0.95742,0.65259,1.183,0.56902,1.56934,2.65e-05,2.65e-05,2.65e-05
120,1860.86,0.49278,0.29009,0.91884,0.91787,0.87186,0.95208,0.6485,1.17853,0.5656,1.5732,1.825e-05,1.825e-05,1.825e-05
